rule_id,audit_decision,replacement_rule_ids,audit_note,experimental_results_inspected,rule_text,input_category,recommended_category,scenario_label,style_tags,colour_tags,occasion_tags,season_tags,gender_context,body_fit_context,formality_level,evidence_keywords,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_reliability,source_reliability_reason,evidence_basis,rule_scope,rule_limitations,manual_verification_status,notes
R071,retained_or_rewritten,K005,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a casual jacket, recommend relaxed base tops such as a tee, polo or casual shirt because casual outerwear should not force formal top choices.",outerwear,tops,casual_daytime_styling,"casual, relaxed, streetwear","white, neutral, bold colour","casual, daytime, travel","spring, autumn",unisex,relaxed fit,casual,"casual jacket, tee, polo, casual shirt, relaxed base layer",fashion_magazine,A Celebrity Guide To Nailing A Smart Casual Dress Code,British Vogue,2023,https://www.vogue.co.uk/article/smart-casual-dress-code-celebrity-guide,high,Highly reputable fashion editorial source discussing smart-casual balance using visible outfit examples.,The source treats smart casual as a balance between relaxed and elegant components.,Best for casual jacket-based recommendations.,May not apply to business jackets or formal coats.,verified,Use formality tags to prevent over-formal tops.
R072,retained_or_rewritten,K006,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a tailored blazer, recommend a shirt, blouse or fine knit because tailored outerwear pairs best with a base layer that preserves the structured line.",outerwear,tops,silhouette_balance,"tailored, polished, structured","white, navy, neutral","work, smart casual, dinner",all season,general,tailored,business casual,"tailored blazer, shirt, blouse, fine knit, structured line",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,The source presents blazers and sweaters as business-casual building blocks.,Best for blazer-to-top recommendations.,May not apply to oversized streetwear blazers.,verified,Use when item category is outerwear and text contains blazer.
R073,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a winter coat, recommend knitwear or long-sleeved tops that support warmth without breaking the outfit's formality level.",outerwear,tops,seasonal_layering,"classic, relaxed, polished","neutral, earth tones, tonal","winter, work, casual",winter,general,layering,general,"winter coat, knitwear, long sleeved top, warmth, formality",retailer_style_guide,How to Wear Dresses in Winter,Stitch Fix,2021,https://www.stitchfix.com/women/blog/fashion-tips/how-to-wear-dresses-in-winter,medium,"Established styling service with seasonal dressing guidance, but commercial retailer context.",The source explains winter dress styling with coats and long-sleeved alternatives for cold weather.,Best for cold-weather outerwear-to-top recommendations.,May not apply to indoor-only styling or warm climates.,verified,Use season tags to route winter queries.
R074,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For a top recommendation in a complete outfit, enforce type diversity: recommend tops as complementary items only when the existing item is from another category.",bottoms,tops,style_consistency,"general, coordinated","neutral, complementary","casual, work, evening",all season,general,not specified,general,"top recommendation, complementary item, category diversity, complete the look",academic_paper,Learning Type-Aware Embeddings for Fashion Compatibility,Marianna D. Vasileva et al.,2018,https://arxiv.org/abs/1803.09196,high,Academic paper focused on type-aware compatibility between apparel categories in outfit recommendation.,"The paper models compatibility with awareness of item types, supporting cross-category rather than same-category matching.",Best for retrieval architecture and category constraints.,Not a direct styling rule; it supports system design and category filtering.,verified,Use as an academic rule for candidate filtering.
R075,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For occasion-aware recommendation, choose tops whose use case matches the event because fashion knowledge links clothing choices to social activity and convention.",bottoms,tops,occasion_matching,"general, coordinated","neutral, complementary","work, wedding, casual, evening",all season,general,not specified,general,"occasion, top, social convention, workwear, eveningwear",academic_paper,"Who, Where, and What to Wear? Extracting Fashion Knowledge from Social Media","Yunshan Ma, Xun Yang, Lizi Liao, Yixin Cao, Tat-Seng Chua",2019,https://arxiv.org/abs/1908.08985,high,"Academic paper modelling relations between clothing, person and occasion for fashion knowledge extraction.","The paper states that fashion knowledge involves occasion, person and clothing for proper dress in social activities.",Best for occasion-conditioned top retrieval.,Needs user-request occasion or inferred context to apply well.,verified,Use as academic grounding for occasion tags.
R076,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For classic menswear trousers, recommend a top whose scale and structure match the trouser formality, such as a dress shirt for tailored trousers and knitwear for softer chinos.",bottoms,tops,proportion_balance,"classic, tailored, refined","white, blue, neutral","work, smart casual, formal",all season,menswear,proportions,business casual,"tailored trousers, dress shirt, knitwear, proportion, menswear",book,Dressing the Man: Mastering the Art of Permanent Fashion,Alan Flusser,2002,"Flusser, Alan. Dressing the Man: Mastering the Art of Permanent Fashion. HarperCollins, 2002.",high,"Well-known menswear book focused on stable tailoring, proportion and classic dress principles.","The book emphasises classic menswear harmony, proportion and tailoring as stable style principles.",Best for menswear proportion and formality matching.,Conservative menswear guidance may not apply to experimental styling.,verified,Use for paper-level explanation of stable styling heuristics.
R077,retained_or_rewritten,K001,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a fitted top, recommend straight-leg, wide-leg or relaxed trousers when the goal is silhouette balance, because volume in the bottom can offset a close-fitting upper half.",tops,bottoms,silhouette_balance,"polished, balanced, classic","neutral, tonal","work, smart casual, daytime",all season,general,balanced silhouette,smart casual,"fitted top, straight trousers, wide leg trousers, silhouette balance",retailer_style_guide,How to wear Wide-Leg Pants,Stitch Fix,2021,https://www.stitchfix.com/women/blog/?p=70798,medium,"Established styling service with practical stylist guidance, but commercial retailer context.","The source's wide-leg guidance uses fit contrast to offset garment fullness, supporting upper-lower volume balancing.",Best for fitted-top outfit completion.,May not apply to bodycon or intentionally narrow silhouettes.,verified,Use for silhouette scoring between top and bottom.
R078,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For an oversized top, recommend slimmer or more structured bottoms when the user requests a balanced silhouette.",tops,bottoms,proportion_balance,"relaxed, structured, casual","neutral, black, denim","casual, smart casual, daytime",all season,general,"oversized, proportions",smart casual,"oversized top, slim trousers, structured bottoms, proportion balance",book,Dressing the Man: Mastering the Art of Permanent Fashion,Alan Flusser,2002,"Flusser, Alan. Dressing the Man: Mastering the Art of Permanent Fashion. HarperCollins, 2002.",high,"Well-known menswear book focused on stable tailoring, proportion and classic dress principles.","The book supports classic proportion and balance as stable menswear principles, which can be generalized carefully to silhouette reasoning.",Best for proportion-balancing recommendations.,May not apply to intentionally oversized streetwear.,verified,Use when item text contains oversized or relaxed fit.
R079,retained_or_rewritten,K008,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a cropped top, recommend high-rise trousers, skirts or jeans because the higher waist helps connect the proportions between top and bottom.",tops,bottoms,proportion_balance,"casual, polished, feminine","neutral, denim, black","casual, daytime, party","spring, summer, autumn",womenswear,proportions,casual,"cropped top, high rise trousers, high waist skirt, proportion",retailer_style_guide,How to wear wide-leg pants for petites,Stitch Fix,2024,https://www.stitchfix.com/women/blog/?p=20952,medium,"Established styling service with body-proportion guidance, but commercial retailer context.",The source links high-rise wide-leg styles to waist definition and proportional balance.,Best for cropped or short tops.,May not apply where a low-rise silhouette is intentionally requested.,verified,"Use with text features for cropped, high-rise and waist."
R080,retained_or_rewritten,K009,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a button-down shirt in business-casual styling, recommend chinos, tailored trousers or dark jeans only when the workplace permits denim.",tops,bottoms,workwear_styling,"business casual, polished, classic","navy, grey, beige, black","work, business casual",all season,menswear,tailored,business casual,"button down shirt, chinos, tailored trousers, dark jeans, office",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,"The source discusses business casual around chinos, trousers, dark jeans in some contexts, unstructured blazers and smart shoes.",Best for workwear bottom recommendations.,May not apply to formal offices that prohibit jeans.,verified,Use occasion and formality tags to filter denim.
R081,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a smart-casual top, recommend chinos, tailored trousers or clean dark denim because the dress code sits between suit-level formality and casual clothing.",tops,bottoms,smart_casual_styling,"smart casual, refined, relaxed","navy, beige, grey, black","smart casual, dinner, work",all season,menswear,tailored,smart casual,"smart casual top, chinos, tailored trousers, dark denim",fashion_magazine,"A full, BS-free breakdown of how to do smart-casual",British GQ,2023,https://www.gq-magazine.co.uk/article/how-to-dress-smart-casual,high,Reputable menswear publication giving explicit smart-casual category guidance.,The source positions smart casual as a mix of tailored and relaxed pieces.,Best for smart-casual bottom selection.,May not apply to events that explicitly exclude jeans.,verified,Use for broad smart-casual prompts.
R082,retained_or_rewritten,K002,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a fine knit or soft tailored top, recommend chinos when the user wants relaxed smart casual because chinos support the less formal side of tailoring.",tops,bottoms,smart_casual_styling,"smart casual, relaxed, refined","beige, navy, brown, neutral","smart casual, date night, daytime","spring, autumn, winter",menswear,relaxed fit,smart casual,"fine knit, soft tailoring, chinos, relaxed smart casual",fashion_magazine,Chinos don't suck - you just suck at styling them,British GQ,2025,https://www.gq-magazine.co.uk/article/what-to-wear-with-chinos,medium,"Reputable menswear editorial source, but the article is practical styling advice rather than academic evidence.",The source advises styling chinos with softer tailoring and knits.,Best for knitwear-to-chino recommendations.,May not apply to strict business formal settings.,verified,"Use when top text contains knit, sweater or polo."
R083,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a polished blouse, recommend tailored trousers or a midi skirt when the user request is workwear or business casual.",tops,bottoms,workwear_styling,"business casual, polished, tailored","black, navy, grey, neutral","work, business casual",all season,womenswear,tailored,business casual,"blouse, tailored trousers, midi skirt, workwear, business casual",retailer_style_guide,Business Casual Clothing And Styling,Stitch Fix,unknown,https://www.stitchfix.com/women/business-casual,medium,"Established styling service category guide, but publication date and evidence detail are limited.","The source places structured work dresses, blazers and black pants in business-casual styling.",Best for blouse-based office outfits.,May not apply to casual workplaces or evening styling.,verified,Use to recommend bottoms for office context.
R084,retained_or_rewritten,K010,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a casual T-shirt, recommend jeans, relaxed trousers or casual skirts when the request is daytime casual.",tops,bottoms,casual_daytime_styling,"casual, relaxed, classic","denim, neutral, black","casual, daytime, travel",all season,general,relaxed fit,casual,"t-shirt, jeans, casual skirt, relaxed trousers, daytime",museum_or_institution,Attire Guide: Dress Codes from Casual to White Tie,Emily Post Institute,unknown,https://emilypost.com/advice/attire-guide-dress-codes-from-casual-to-white-tie,high,Authoritative etiquette institution with stable dress-code guidance.,The attire guide defines casual dress as informal compared with business and formal attire.,Best for casual top-to-bottom completion.,May not apply to smart-casual or formal event requests.,verified,Use for casual formality filtering.
R085,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a formal shirt, recommend dress trousers rather than jeans because formal attire guidance excludes jeans from formal menswear.",tops,bottoms,formality_matching,"formal, tailored, classic","black, navy, charcoal, grey","formal, wedding, evening",all season,menswear,tailored,formal,"formal shirt, dress trousers, suit trousers, no jeans, formal attire",fashion_magazine,The Vogue Guide to Formal Attire,Vogue,2025,https://www.vogue.com/article/the-vogue-guide-to-formal-attire,high,Highly reputable fashion publication with named editorial authority on dress-code guidance.,"The source states formal menswear usually requires tuxedo or dinner suit and that dress trousers, not jeans, should be worn.",Best for formal shirt-to-trouser recommendations.,May not apply to casual suiting or fashion-editorial looks.,verified,Use to prevent denim recommendations in formal prompts.
R086,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a black-tie shirt or evening top, recommend tuxedo trousers or formal evening trousers because black tie requires a formal evening ensemble.",tops,bottoms,formal_evening_styling,"formal, polished, classic","black, white","formal, evening, black tie",all season,menswear,tailored,formal,"black tie shirt, tuxedo trousers, evening trousers, formal ensemble",museum_or_institution,Black Tie Dress Code,Emily Post Institute,unknown,https://emilypost.com/advice/black-tie-dress-code,high,Authoritative etiquette institution explaining black-tie formalwear conventions.,The source explains black tie as a formal evening dress code with conventional attire components.,Best for black-tie bottom recommendations.,May not apply to creative black tie or non-Western formalwear.,verified,Use with high formality filtering.
R087,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a neutral top, recommend bottoms in a tonal or monochrome palette when the user requests a minimal outfit.",tops,bottoms,colour_coordination,"minimal, tonal, polished","neutral, monochrome, tonal","work, smart casual, casual",all season,general,balanced silhouette,general,"neutral top, tonal bottoms, monochrome, minimal outfit",fashion_editorial,How To Wear The Street Style Trend for Tonal Colours,British Vogue,2018,https://www.vogue.co.uk/gallery/how-to-wear-tonal-colours,medium,"Reputable editorial styling gallery, but advice is trend-oriented and less formal than academic evidence.",The source describes tonal dressing as mixing variations of the same hue.,Best for minimal colour-coordinated outfits.,May not apply when the user asks for bold contrast.,verified,Use colour tags to rerank bottoms.
R088,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a bold-colour top, recommend neutral bottoms for a conservative result or a complementary-colour bottom only when the user asks for a stronger colour statement.",tops,bottoms,colour_coordination,"polished, expressive, casual","bold colour, neutral, complementary","casual, smart casual, evening",all season,general,balanced silhouette,general,"bold top, neutral bottoms, complementary colour, colour wheel",fashion_magazine,How to Master Color Theory for Clothing Like a Vogue Fashion Editor,Vogue,2026,https://www.vogue.com/article/color-theory-for-clothing,high,Highly reputable fashion editorial source connecting clothing coordination to colour-theory principles.,The source discusses using the colour wheel to build outfits with colour theory.,Best for colour-aware top-to-bottom matching.,May not apply to print-heavy garments where the dominant colour is unclear.,verified,Use extracted colour features for retrieval.
R089,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For patterned tops, recommend solid bottoms in a colour already present in the pattern to keep the outfit visually connected.",tops,bottoms,colour_coordination,"classic, polished, minimal","tonal, neutral, complementary","work, casual, smart casual",all season,general,balanced silhouette,general,"patterned top, solid bottoms, colour repetition, visual connection",book,Interaction of Color,Josef Albers,1963,"Albers, Josef. Interaction of Color. Yale University Press, 1963.",high,Canonical colour-theory book; not fashion-specific but authoritative for visual colour interaction principles.,"The source establishes that colour perception depends on interaction, supporting controlled colour repetition.",Best for patterned tops and conservative styling.,Book is colour-theory not fashion-specific; combine with fashion sources when possible.,verified,Use pattern and colour keywords in RAG retrieval.
R090,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a structured blazer as the top layer, recommend trousers or dark denim that maintain polish rather than casual shorts.",tops,bottoms,smart_casual_styling,"smart casual, structured, polished","navy, grey, black, beige","work, smart casual, dinner",all season,menswear,tailored,smart casual,"structured blazer, trousers, dark denim, polished bottoms",fashion_magazine,"A full, BS-free breakdown of how to do smart-casual",British GQ,2023,https://www.gq-magazine.co.uk/article/how-to-dress-smart-casual,high,Reputable menswear publication giving explicit smart-casual category guidance.,"The source includes blazers, trousers and shirts within smart-casual dressing and differentiates them from casual athletic pieces.",Best for blazer-led smart casual.,May not apply to warm-weather casual settings where shorts are explicitly requested.,verified,Use to complete blazer outfits.
R091,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a tank top or simple summer top, recommend relaxed trousers, shorts or skirts only when the occasion is casual daytime.",tops,bottoms,casual_daytime_styling,"casual, relaxed, summer","white, beige, denim, pastel","summer, casual, daytime, travel",summer,general,relaxed fit,casual,"tank top, summer top, shorts, relaxed trousers, casual skirt",fashion_magazine,A Celebrity Guide To Nailing A Smart Casual Dress Code,British Vogue,2023,https://www.vogue.co.uk/article/smart-casual-dress-code-celebrity-guide,high,Highly reputable fashion editorial source discussing smart-casual balance using visible outfit examples.,The source frames relaxed pieces as part of casual-to-smart-casual celebrity looks but not formalwear.,Best for summer daytime top recommendations.,May not apply to business casual or formal venues.,verified,Use season and occasion filtering.
R092,legacy_accessory_ontology,K014,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For a refined accessory-led top outfit, recommend simple bottoms so the accessory remains the focal point.",accessories,bottoms,accessory_coordination,"minimal, polished, refined","neutral, black, white","evening, smart casual, party",all season,general,balanced silhouette,general,"statement accessory, simple bottoms, focal point, minimal outfit",retailer_style_guide,"Your Guide To Elegant Date-Night Style, By 5 Fashion Insiders",NET-A-PORTER / PORTER,2026,https://www.net-a-porter.com/en-gb/porter/article-f6421bef33aadc15/fashion/art-of-style/%252Fporter%252Farticle-f6421bef33aadc15,medium,"Established luxury retailer/editorial source with named fashion-insider guidance, but commercial context.",The source advises complementing minimal outfits with statement accessories such as jewellery or handbags.,Best for accessory-led outfit completion.,May not apply to maximalist styling.,verified,Use when accessories have high visual salience.
R093,retained_or_rewritten,K018,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For formal shoes as the query item, recommend formal trousers or tailored bottoms because footwear formality should match the rest of the outfit.",shoes,bottoms,formality_matching,"formal, classic, polished","black, navy, grey","formal, evening, wedding",all season,general,tailored,formal,"formal shoes, tailored trousers, dress trousers, formality match",fashion_magazine,Black tie dress code explained,British GQ,2024,https://www.gq-magazine.co.uk/article/black-tie-guide,high,Highly reputable menswear editorial source explaining formal dress-code conventions.,The source treats formal shoes as part of the black-tie system rather than casual dressing.,Best for shoe-to-bottom formal matching.,May not apply to creative high-low styling.,verified,Use shoe formality to constrain bottom candidates.
R094,retained_or_rewritten,K012,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For casual trainers as the query item, recommend casual or smart-casual bottoms such as chinos or clean jeans, not formal evening trousers.",shoes,bottoms,formality_matching,"casual, smart casual, relaxed","denim, beige, navy, neutral","casual, daytime, smart casual",all season,general,relaxed fit,casual,"trainers, chinos, clean jeans, casual bottoms, formality",fashion_magazine,How to style chinos and trainers,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-style-chinos-and-trainers,medium,"Reputable menswear editorial source, but rule is style-editorial rather than formal dress-code evidence.",The source explains how chinos and trainers can work when the rest of the outfit is kept refined enough.,Best for trainer-led casual and smart-casual outfits.,May not apply to athletic outfits or strict offices.,verified,Use shoe type for bottom formality filtering.
R095,retained_or_rewritten,K011,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For loafers, recommend denim, chinos or tailored trousers according to the loafer shape, because chunkier loafers suit denim while cleaner shapes read more formal.",shoes,bottoms,style_consistency,"smart casual, classic, polished","black, brown, denim, neutral","work, smart casual, daytime",all season,menswear,proportions,smart casual,"loafers, denim, chinos, tailored trousers, chunky loafer, clean loafer",fashion_magazine,How to wear loafers and look like a grownup,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-wear-loafers,medium,"Reputable menswear editorial source, but loafer styling guidance is contextual and partly trend-sensitive.",The source says chunkier loafers balance denim and that loafer vamp/shape affects casual or formal reading.,Best for loafer-to-bottom recommendations.,May not apply to highly decorative loafers.,verified,"Use shoe metadata such as chunky, suede, patent, or high vamp."
R096,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For an outerwear-led casual outfit, recommend bottoms that match the jacket's relaxed formality, such as jeans or casual trousers.",outerwear,bottoms,casual_daytime_styling,"casual, relaxed, streetwear","denim, neutral, earth tones","casual, daytime, travel","spring, autumn, winter",unisex,relaxed fit,casual,"casual jacket, jeans, casual trousers, relaxed bottoms",academic_paper,Learning Type-Aware Embeddings for Fashion Compatibility,Marianna D. Vasileva et al.,2018,https://arxiv.org/abs/1803.09196,high,Academic paper focused on type-aware compatibility between apparel categories in outfit recommendation.,"The paper supports modelling compatibility across item types such as tops, bottoms and shoes.",Best for casual outerwear-to-bottom completion.,Needs fashion-specific evidence for exact item type choice.,verified,Use as academic support for cross-category retrieval.
R097,retained_or_rewritten,K013,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a tailored coat or blazer, recommend tailored trousers when the user request is work or formal smart casual.",outerwear,bottoms,workwear_styling,"tailored, polished, structured","black, navy, grey, neutral","work, smart casual, business casual","autumn, winter, all season",general,tailored,business casual,"tailored coat, blazer, tailored trousers, workwear, structured outfit",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,"The source identifies blazers, sweaters and smart-looking pieces as business-casual building blocks.",Best for tailored outerwear and workwear.,May not apply to casual oversized blazers.,verified,"Use when outerwear text contains blazer, coat, tailored."
R098,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For long outerwear, recommend bottoms with a clean line when the user wants polish because bulky or heavily detailed bottoms can compete with the outer layer.",outerwear,bottoms,silhouette_balance,"polished, classic, tailored","neutral, black, navy","work, winter, smart casual","autumn, winter",general,balanced silhouette,smart casual,"long coat, clean trousers, simple bottoms, outerwear proportion",museum_or_institution,Fashion - Explore the Collections,Victoria and Albert Museum,unknown,https://www.vam.ac.uk/collections/fashion,high,Major museum institution with authoritative fashion collection and material/design context.,"The museum source supports garment analysis by construction, material and design, useful for reasoning about outerwear silhouette.",Best for long coat and silhouette-aware bottom selection.,Museum source is not direct styling advice and should be combined with other evidence.,needs_manual_check,Keep manual check due indirect evidence basis.
R099,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For outfit compatibility systems, recommend bottoms as complementary items from a different apparel type rather than substitutes for tops.",tops,bottoms,style_consistency,"general, coordinated","neutral, complementary","casual, work, evening",all season,general,not specified,general,"bottom recommendation, complementary item, apparel type, outfit compatibility",academic_paper,Learning Fashion Compatibility with Bidirectional LSTMs,"Xintong Han, Zuxuan Wu, Yu-Gang Jiang, Larry S. Davis",2017,https://arxiv.org/abs/1707.05691,high,Peer-reviewed ACM Multimedia fashion compatibility paper using Polyvore outfits and multimodal item relationships.,The paper models outfits as sequences of fashion items and learns compatibility relationships among item categories.,Best as academic grounding for top-to-bottom candidate retrieval.,Does not provide a direct human styling rule.,verified,Use for method justification and retrieval design.
R100,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For occasion-aware bottom selection, use the user's occasion tag because fashion knowledge includes the relation between clothing and social activities.",tops,bottoms,occasion_matching,"general, coordinated","neutral, complementary","work, wedding, casual, evening",all season,general,not specified,general,"occasion, bottoms, workwear, eveningwear, social convention",academic_paper,"Who, Where, and What to Wear? Extracting Fashion Knowledge from Social Media","Yunshan Ma, Xun Yang, Lizi Liao, Yixin Cao, Tat-Seng Chua",2019,https://arxiv.org/abs/1908.08985,high,"Academic paper modelling relations between clothing, person and occasion for fashion knowledge extraction.","The paper states fashion knowledge involves occasion, person and clothing.",Best for occasion-conditioned bottom retrieval.,Requires explicit or inferred occasion metadata.,verified,Use to justify occasion_tags as retriever features.
R101,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For colour-compatible outfit completion, recommend bottoms whose dominant colour is compatible with the existing top and accessories.",tops,bottoms,colour_coordination,"general, coordinated","neutral, tonal, complementary, contrast","casual, work, evening",all season,general,not specified,general,"dominant colour, top, bottoms, colour compatibility, outfit completion",academic_paper,Learning Color Compatibility in Fashion Outfits,"Heming Zhang, Xuewen Yang, Jianchao Tan, Chi-Hao Wu, Jue Wang, C.-C. Jay Kuo",2020,https://arxiv.org/abs/2007.02388,high,Academic paper explicitly modelling colour compatibility as an outfit recommendation signal.,The paper finds colour compatibility to be an important signal for fashion outfit compatibility.,Best for colour-score integration.,Requires reliable colour extraction from image or metadata.,verified,Use as academic evidence for colour-aware reranking.
R102,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a winter dress, recommend a simple overcoat or structured coat because winter dress styling uses outerwear to add warmth while preserving polish.",dresses,outerwear,seasonal_layering,"classic, polished, elegant","camel, black, navy, neutral","winter, work, evening",winter,womenswear,layering,smart casual,"winter dress, overcoat, structured coat, warmth, polish",retailer_style_guide,How to Wear Dresses in Winter,Stitch Fix,2021,https://www.stitchfix.com/women/blog/fashion-tips/how-to-wear-dresses-in-winter,medium,"Established styling service with seasonal dressing guidance, but commercial retailer context.",The source advises using a simple overcoat or long-sleeved dress to keep warm in winter dress outfits.,Best for winter dress-to-outerwear recommendations.,May not apply to very casual puffer-focused outfits.,verified,"Retrieve for winter, dress and coat keywords."
R103,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a formal dress, recommend refined outerwear such as a tailored coat or evening wrap because formal dress-code styling should not make the outfit read casual.",dresses,outerwear,formal_evening_styling,"formal, elegant, polished","black, navy, neutral","formal, evening, wedding","autumn, winter, all season",womenswear,layering,formal,"formal dress, tailored coat, evening wrap, black tie outerwear",fashion_magazine,Vogue’s Guide to the Black-Tie Dress Code,Vogue,2025,https://www.vogue.com/article/black-tie-dress-code,high,Highly reputable fashion publication covering black-tie attire and formal styling conventions.,The source frames black-tie as formal eveningwear requiring a clear sense of occasion.,Best for formal dress and evening outerwear.,May not apply to outdoor cold-weather events requiring practical insulation.,verified,Use formality constraints to avoid casual jackets.
R104,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a cocktail dress, recommend a polished blazer, cropped jacket or tailored coat that keeps the semi-formal tone.",dresses,outerwear,formality_matching,"semi formal, polished, elegant","black, neutral, metallic","cocktail, evening, party","autumn, winter, all season",womenswear,layering,evening,"cocktail dress, polished blazer, cropped jacket, tailored coat",fashion_magazine,A Definitive Guide To Cocktail Attire,British Vogue,2025,https://www.vogue.co.uk/article/cocktail-attire-dress-code-guide,high,Highly reputable fashion editorial source on semi-formal cocktail dressing and dress-code caution.,The source describes cocktail attire as semi-formal and advises dressing up more than usual.,Best for semi-formal dress-to-outerwear recommendations.,May not apply to black-tie gowns requiring more formal cover-ups.,verified,Use when event is cocktail or party.
R105,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a wedding guest dress, recommend outerwear that respects the dress code, such as a tailored coat for formal weddings or lighter polished layer for daytime weddings.",dresses,outerwear,occasion_matching,"elegant, polished, classic","neutral, pastel, metallic","wedding, formal, daytime, evening","spring, autumn, winter",womenswear,layering,smart casual,"wedding guest dress, tailored coat, polished layer, dress code",fashion_magazine,What To Wear To A Wedding,British Vogue,2019,https://www.vogue.co.uk/article/what-to-wear-to-a-wedding,high,Highly reputable fashion editorial source on occasion-appropriate wedding guest styling.,The source stresses dressing in line with the wedding context and dress code.,Best for wedding guest outerwear.,May not apply to beach weddings or cultural dress requirements.,verified,Use occasion tags to route wedding-related queries.
R106,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a summer dress, recommend lightweight outerwear only when needed, such as a linen blazer or light cardigan, because warm-weather styling should not overpower the dress.",dresses,outerwear,seasonal_layering,"casual, relaxed, minimal","white, beige, pastel, neutral","summer, travel, daytime",summer,womenswear,layering,casual,"summer dress, linen blazer, light cardigan, lightweight layer",retailer_style_guide,How to Accessorize Dresses,Stitch Fix,2022,https://www.stitchfix.com/women/blog/fashion-tips/how-to-accessorize-dresses/,medium,"Established styling service guide focused on accessories, but commercial retailer context.",The source frames resort wear and dress accessorising around simple warm-weather styling.,Best for summer dress layering.,May not apply to formal summer events with strict dress codes.,verified,Use season tags for lightweight outerwear retrieval.
